fecha_compra,producto,categoria,cantidad,precio_unitario,cliente,ciudad,metodo_pago,estado_envio,total_venta
2024-07-21,Televisión,Electrónica,7,10875.33,Cliente_40,Guadalajara,Transferencia,En camino,76127.31
2024-09-12,Detergente,Limpieza,6,120.47,Cliente_2,Guadalajara,PayPal,En camino,722.82
2024-03-26,Licuadora,Electrónica,4,1939.77,Cliente_81,Mérida,Tarjeta,En camino,7759.08
2024-05-29,Papel Higiénico,Hogar,2,84.66,Cliente_41,Toluca,PayPal,Cancelado,169.32
2024-08-22,Televisión,Electrónica,6,12336.18,Cliente_12,Guadalajara,Tarjeta,En camino,74017.08
2024-12-10,Cereal,Alimentos,2,62.07,Cliente_35,Querétaro,PayPal,Cancelado,124.14
2024-01-22,Arroz,Despensa,2,40.87,Cliente_65,Puebla,Transferencia,Entregado,81.74
2024-12-13,Televisión,Electrónica,2,9468.01,Cliente_55,Mérida,Tarjeta,Entregado,18936.02
2024-10-11,Licuadora,Electrónica,6,1550.73,Cliente_45,Querétaro,Efectivo,Cancelado,9304.38
2024-09-25,Papel Higiénico,Hogar,7,75.74,Cliente_79,CDMX,Transferencia,Cancelado,530.18
2024-09-14,Detergente,Limpieza,3,102.43,Cliente_90,Monterrey,Efectivo,Cancelado,307.29
2024-01-29,Licuadora,Electrónica,3,2084.48,Cliente_85,Mérida,Transferencia,En camino,6253.44
2024-07-31,Licuadora,Electrónica,7,1543.66,Cliente_62,CDMX,PayPal,Entregado,10805.62
2024-10-09,Arroz,Despensa,2,62.77,Cliente_49,Monterrey,Tarjeta,Cancelado,125.54
2024-02-19,Refresco,Bebidas,4,42.96,Cliente_95,Puebla,Transferencia,En camino,171.84
2024-04-04,Papel Higiénico,Hogar,1,97.63,Cliente_25,Guadalajara,PayPal,Entregado,97.63
2024-03-28,Pan,Alimentos,6,24.39,Cliente_23,Querétaro,Tarjeta,En camino,146.34
2024-02-13,Licuadora,Electrónica,1,1989.08,Cliente_24,Toluca,Tarjeta,Entregado,1989.08
2024-10-04,Refresco,Bebidas,7,36.55,Cliente_38,Querétaro,Transferencia,En camino,255.85
2024-06-19,Pan,Alimentos,4,28.51,Cliente_28,Puebla,Tarjeta,Entregado,114.04
2024-07-07,Papel Higiénico,Hogar,6,131.48,Cliente_21,CDMX,Transferencia,Entregado,788.88
2024-12-18,Leche,Alimentos,7,34.5,Cliente_54,Toluca,Tarjeta,En camino,241.5
2024-07-02,Cereal,Alimentos,2,82.07,Cliente_18,Guadalajara,Efectivo,Cancelado,164.14
2024-01-03,Refresco,Bebidas,3,35.78,Cliente_36,Puebla,PayPal,Entregado,107.34
2024-07-09,Shampoo,Cuidado Personal,1,84.55,Cliente_99,Toluca,Efectivo,Cancelado,84.55
2024-04-27,Leche,Alimentos,5,44.3,Cliente_45,Puebla,Transferencia,En camino,221.5
2024-01-19,Cereal,Alimentos,5,63.42,Cliente_73,Puebla,Efectivo,Cancelado,317.1
2024-01-23,Arroz,Despensa,4,57.23,Cliente_53,Guadalajara,Transferencia,Cancelado,228.92
2024-01-30,Televisión,Electrónica,2,13273.95,Cliente_30,Mérida,Tarjeta,Cancelado,26547.9
2024-10-21,Detergente,Limpieza,1,109.88,Cliente_60,Monterrey,Tarjeta,Cancelado,109.88
2024-04-17,Shampoo,Cuidado Personal,2,93.06,Cliente_98,Toluca,Transferencia,Cancelado,186.12
2024-10-07,Arroz,Despensa,1,51.56,Cliente_32,Guadalajara,Efectivo,Entregado,51.56
2024-05-07,Papel Higiénico,Hogar,4,103.86,Cliente_67,Puebla,Tarjeta,Entregado,415.44
